UserID,Name,Age,Gender,City,State,Country,Email,PhoneNumber,Address,RegistrationDate,DeviceType,Browser,OperatingSystem,IPAddress,TrustScore
25,Meera Nair,40,Female,Jaipur,Rajasthan,India,meera_nair93@outlook.com,916000000000.0,"House 300, Jaipur, India",24-03-2020,Web,Safari,Android 14,192.168.72.213,0.54
26,Ishita Jain,55,Female,Hyderabad,Telangana,India,ishita_jain27@outlook.com,917000000000.0,"House 159, Hyderabad, India",20-02-2022,Web,Edge,Android 14,192.168.51.69,0.92
27,Rahul Verma,53,Male,Pune,Maharashtra,India,rahulverma452@gmail.com,917000000000.0,"House 227, Pune, India",19-12-2021,iOS,Safari,iOS 17,192.168.214.119,0.93
28,Arjun Thakur,48,Male,Pune,Maharashtra,India,arjun.thakur52@rediffmail.com,920000000000.0,"House 171, Pune, India",12-05-2024,Android,Chrome,Android 14,192.168.145.30,0.32
29,Kabir Sharma,45,Male,Chennai,Tamil Nadu,India,kabir.sharma79@gmail.com,919000000000.0,"House 288, Chennai, India",22-10-2019,Android,Edge,iOS 17,192.168.9.8,0.37
30,Meera Nair,51,Female,Lucknow,Uttar Pradesh,India,meera.nair40@outlook.com,918000000000.0,"House 217, Lucknow, India",20-03-2018,iOS,Edge,iOS 17,192.168.67.197,0.56
31,Vikram Rao,55,Male,Mumbai,Maharashtra,India,vikram_rao99@yahoo.com,919000000000.0,"House 188, Mumbai, India",03-11-2022,Web,Safari,Linux,192.168.68.197,0.43
32,Aanya Iyer,33,Female,Chennai,Tamil Nadu,India,aanyaiyer299@rediffmail.com,916000000000.0,"House 155, Chennai, India",24-12-2018,iOS,Firefox,iOS 17,192.168.191.145,0.39
33,Riya Desai,36,Female,Mumbai,Maharashtra,India,riyadesai954@gmail.com,916000000000.0,"House 105, Mumbai, India",26-08-2024,iOS,Edge,iOS 17,192.168.110.194,0.84
34,Arjun Thakur,45,Male,Pune,Maharashtra,India,arjunthakur583@rediffmail.com,916000000000.0,"House 188, Pune, India",26-09-2018,iOS,Safari,Linux,192.168.158.37,0.2
35,Ishita Jain,55,Female,Jaipur,Rajasthan,India,ishitajain156@rediffmail.com,918000000000.0,"House 280, Jaipur, India",12-04-2023,iOS,Safari,Linux,192.168.118.150,0.25
36,Ishita Jain,27,Female,Lucknow,Uttar Pradesh,India,ishitajain664@rediffmail.com,916000000000.0,"House 262, Lucknow, India",15-11-2019,Web,Chrome,iOS 17,192.168.218.81,0.61
37,Riya Desai,47,Female,Ahmedabad,Gujarat,India,riya_desai93@rediffmail.com,920000000000.0,"House 25, Ahmedabad, India",25-02-2019,Android,Firefox,Android 14,192.168.31.112,0.81
38,Rahul Verma,44,Male,Hyderabad,Telangana,India,rahul.verma46@gmail.com,919000000000.0,"House 209, Hyderabad, India",14-03-2018,iOS,Edge,Windows 11,192.168.192.44,0.95
39,Meera Nair,36,Female,Bangalore,Karnataka,India,meera.nair99@rediffmail.com,917000000000.0,"House 279, Bangalore, India",24-12-2022,iOS,Edge,iOS 17,192.168.58.232,0.49
40,Kabir Sharma,47,Male,Bangalore,Karnataka,India,kabirsharma662@yahoo.com,917000000000.0,"House 130, Bangalore, India",05-12-2021,Web,Safari,Windows 11,192.168.72.188,0.53
41,Arjun Thakur,27,Male,Chennai,Tamil Nadu,India,arjun_thakur80@gmail.com,916000000000.0,"House 159, Chennai, India",09-03-2024,Android,Firefox,Windows 11,192.168.45.121,0.97
42,Arjun Thakur,39,Male,Ahmedabad,Gujarat,India,arjun.thakur24@gmail.com,917000000000.0,"House 36, Ahmedabad, India",12-02-2021,Android,Chrome,iOS 17,192.168.104.99,0.81
43,Riya Desai,49,Female,Kolkata,West Bengal,India,riya_desai44@outlook.com,916000000000.0,"House 7, Kolkata, India",27-12-2018,Web,Firefox,Linux,192.168.49.45,0.21
44,Meera Nair,50,Female,Ahmedabad,Gujarat,India,meera.nair14@yahoo.com,918000000000.0,"House 261, Ahmedabad, India",11-03-2021,Android,Firefox,Linux,192.168.230.178,0.33
45,Aanya Iyer,46,Female,Pune,Maharashtra,India,aanya.iyer67@outlook.com,918000000000.0,"House 133, Pune, India",13-07-2019,Android,Edge,Linux,192.168.110.39,0.79
46,Rahul Verma,47,Male,Kolkata,West Bengal,India,rahul.verma54@yahoo.com,917000000000.0,"House 161, Kolkata, India",20-11-2022,iOS,Edge,iOS 17,192.168.176.43,0.51
47,Rahul Verma,22,Male,Chennai,Tamil Nadu,India,rahul_verma38@yahoo.com,916000000000.0,"House 187, Chennai, India",09-12-2019,Android,Safari,iOS 17,192.168.234.145,0.57
48,Vikram Rao,24,Male,Bangalore,Karnataka,India,vikram.rao33@outlook.com,918000000000.0,"House 261, Bangalore, India",08-01-2023,Android,Chrome,iOS 17,192.168.44.202,0.65
49,Meera Nair,54,Female,Mumbai,Maharashtra,India,meera_nair24@rediffmail.com,917000000000.0,"House 51, Mumbai, India",02-12-2019,Web,Firefox,Android 14,192.168.33.167,0.34
50,Riya Desai,56,Female,Pune,Maharashtra,India,riyadesai495@rediffmail.com,918000000000.0,"House 159, Pune, India",09-04-2021,Web,Chrome,iOS 17,192.168.90.197,0.52
51,Sneha Reddy,29,Female,Delhi,Delhi,India,sneha.reddy44@rediffmail.com,916000000000.0,"House 92, Delhi, India",28-07-2024,Web,Safari,Windows 11,192.168.2.58,0.71
52,Vikram Rao,25,Male,Lucknow,Uttar Pradesh,India,vikramrao582@yahoo.com,920000000000.0,"House 84, Lucknow, India",24-02-2022,Android,Edge,Android 14,192.168.26.199,0.78
53,Vikram Rao,53,Male,Hyderabad,Telangana,India,vikram.rao91@yahoo.com,919000000000.0,"House 139, Hyderabad, India",26-02-2021,iOS,Safari,Linux,192.168.41.165,0.98
54,Riya Desai,23,Female,Kolkata,West Bengal,India,riya.desai22@outlook.com,920000000000.0,"House 272, Kolkata, India",26-03-2018,iOS,Chrome,Android 14,192.168.156.17,0.77
55,Aarav Kapoor,51,Male,Jaipur,Rajasthan,India,aarav.kapoor13@yahoo.com,917000000000.0,"House 142, Jaipur, India",19-12-2023,Android,Safari,Linux,192.168.59.202,0.25
56,Ishita Jain,37,Female,Delhi,Delhi,India,ishita.jain81@yahoo.com,916000000000.0,"House 288, Delhi, India",24-09-2020,iOS,Firefox,Linux,192.168.38.132,0.96
57,Aanya Iyer,26,Female,Lucknow,Uttar Pradesh,India,aanyaiyer506@rediffmail.com,917000000000.0,"House 188, Lucknow, India",06-01-2021,iOS,Edge,Android 14,192.168.211.88,0.26
58,Meera Nair,35,Female,Chennai,Tamil Nadu,India,meera.nair48@rediffmail.com,917000000000.0,"House 198, Chennai, India",14-02-2022,Android,Safari,Linux,192.168.195.40,0.23
59,Arjun Thakur,42,Male,Ahmedabad,Gujarat,India,arjun.thakur90@rediffmail.com,917000000000.0,"House 169, Ahmedabad, India",23-03-2022,Web,Edge,Windows 11,192.168.152.255,0.86
60,Aanya Iyer,28,Female,Mumbai,Maharashtra,India,aanya.iyer45@outlook.com,919000000000.0,"House 112, Mumbai, India",09-11-2020,Android,Edge,Windows 11,192.168.129.90,0.75
61,Vikram Rao,32,Male,Ahmedabad,Gujarat,India,vikramrao818@outlook.com,917000000000.0,"House 205, Ahmedabad, India",02-06-2020,Android,Edge,iOS 17,192.168.61.84,0.58
62,Ishita Jain,58,Female,Ahmedabad,Gujarat,India,ishita_jain46@gmail.com,918000000000.0,"House 214, Ahmedabad, India",17-04-2021,Android,Chrome,Linux,192.168.73.116,0.93
63,Ishita Jain,33,Female,Bangalore,Karnataka,India,ishita.jain41@outlook.com,917000000000.0,"House 234, Bangalore, India",09-12-2019,Web,Safari,Linux,192.168.29.40,0.34
64,Riya Desai,23,Female,Ahmedabad,Gujarat,India,riyadesai204@gmail.com,920000000000.0,"House 191, Ahmedabad, India",14-01-2020,iOS,Chrome,Linux,192.168.204.242,0.7
65,Arjun Thakur,27,Male,Mumbai,Maharashtra,India,arjun.thakur16@yahoo.com,920000000000.0,"House 253, Mumbai, India",03-04-2021,Android,Firefox,iOS 17,192.168.237.156,0.4
66,Riya Desai,48,Female,Delhi,Delhi,India,riya_desai36@rediffmail.com,919000000000.0,"House 50, Delhi, India",23-01-2021,Android,Chrome,Android 14,192.168.172.186,0.39
67,Ishita Jain,59,Female,Hyderabad,Telangana,India,ishitajain414@gmail.com,918000000000.0,"House 57, Hyderabad, India",07-03-2020,iOS,Chrome,Windows 11,192.168.228.48,0.34
68,Rahul Verma,18,Male,Delhi,Delhi,India,rahul_verma21@gmail.com,919000000000.0,"House 136, Delhi, India",18-02-2023,Web,Firefox,Android 14,192.168.108.187,0.51
69,Arjun Thakur,40,Male,Delhi,Delhi,India,arjun_thakur31@yahoo.com,916000000000.0,"House 73, Delhi, India",11-09-2022,Android,Safari,Android 14,192.168.199.189,0.48
70,Aarav Kapoor,24,Male,Ahmedabad,Gujarat,India,aaravkapoor32@rediffmail.com,919000000000.0,"House 209, Ahmedabad, India",04-09-2023,iOS,Edge,Android 14,192.168.252.72,0.66
71,Rahul Verma,58,Male,Hyderabad,Telangana,India,rahulverma216@yahoo.com,918000000000.0,"House 39, Hyderabad, India",15-05-2024,iOS,Safari,Android 14,192.168.104.39,0.91
72,Riya Desai,56,Female,Bangalore,Karnataka,India,riyadesai791@outlook.com,917000000000.0,"House 61, Bangalore, India",05-07-2021,Web,Safari,Linux,192.168.124.248,0.94
73,Arjun Thakur,53,Male,Mumbai,Maharashtra,India,arjun.thakur5@rediffmail.com,917000000000.0,"House 162, Mumbai, India",18-10-2023,Web,Safari,iOS 17,192.168.37.92,0.66
74,Meera Nair,31,Female,Pune,Maharashtra,India,meera.nair18@gmail.com,918000000000.0,"House 34, Pune, India",23-09-2021,Web,Firefox,Android 14,192.168.172.109,0.55
75,Aarav Kapoor,33,Male,Jaipur,Rajasthan,India,aarav_kapoor82@gmail.com,919000000000.0,"House 57, Jaipur, India",26-03-2024,Web,Chrome,Windows 11,192.168.44.6,0.37
76,Meera Nair,44,Female,Pune,Maharashtra,India,meera_nair89@yahoo.com,920000000000.0,"House 203, Pune, India",19-08-2022,iOS,Firefox,Android 14,192.168.45.253,0.98
77,Aanya Iyer,60,Female,Kolkata,West Bengal,India,aanya_iyer80@outlook.com,918000000000.0,"House 266, Kolkata, India",12-08-2021,Android,Chrome,iOS 17,192.168.51.39,0.5
78,Sneha Reddy,44,Female,Lucknow,Uttar Pradesh,India,snehareddy757@rediffmail.com,917000000000.0,"House 152, Lucknow, India",23-09-2023,Android,Chrome,Android 14,192.168.94.41,0.94
79,Ishita Jain,24,Female,Bangalore,Karnataka,India,ishita.jain73@yahoo.com,919000000000.0,"House 98, Bangalore, India",04-05-2024,Android,Edge,Android 14,192.168.53.50,0.87
80,Aanya Iyer,48,Female,Pune,Maharashtra,India,aanya.iyer4@rediffmail.com,918000000000.0,"House 92, Pune, India",10-02-2023,Android,Safari,Android 14,192.168.191.91,0.8
81,Riya Desai,33,Female,Mumbai,Maharashtra,India,riyadesai836@rediffmail.com,917000000000.0,"House 88, Mumbai, India",05-06-2024,Android,Edge,Linux,192.168.74.13,0.76
82,Arjun Thakur,41,Male,Jaipur,Rajasthan,India,arjun_thakur65@yahoo.com,919000000000.0,"House 233, Jaipur, India",20-11-2018,Android,Safari,Android 14,192.168.172.122,0.97
83,Rahul Verma,19,Male,Pune,Maharashtra,India,rahul_verma11@rediffmail.com,916000000000.0,"House 110, Pune, India",19-02-2024,iOS,Edge,Android 14,192.168.14.78,0.48
84,Kabir Sharma,57,Male,Delhi,Delhi,India,kabir.sharma69@gmail.com,920000000000.0,"House 264, Delhi, India",07-11-2021,Android,Chrome,iOS 17,192.168.205.102,0.28
85,Riya Desai,45,Female,Kolkata,West Bengal,India,riya.desai84@gmail.com,916000000000.0,"House 49, Kolkata, India",03-07-2021,Web,Chrome,iOS 17,192.168.19.119,0.28
86,Aarav Kapoor,34,Male,Chennai,Tamil Nadu,India,aarav_kapoor54@rediffmail.com,918000000000.0,"House 47, Chennai, India",10-01-2019,Android,Edge,iOS 17,192.168.97.108,0.24
87,Aanya Iyer,18,Female,Mumbai,Maharashtra,India,aanya_iyer63@yahoo.com,919000000000.0,"House 108, Mumbai, India",23-12-2022,Web,Firefox,iOS 17,192.168.109.62,0.72
88,Rahul Verma,22,Male,Lucknow,Uttar Pradesh,India,rahulverma177@outlook.com,916000000000.0,"House 298, Lucknow, India",04-12-2019,Android,Firefox,Linux,192.168.38.195,0.29
89,Sneha Reddy,22,Female,Hyderabad,Telangana,India,sneha.reddy38@gmail.com,919000000000.0,"House 145, Hyderabad, India",19-01-2023,iOS,Firefox,Windows 11,192.168.106.45,0.58
90,Meera Nair,51,Female,Lucknow,Uttar Pradesh,India,meeranair115@outlook.com,916000000000.0,"House 285, Lucknow, India",26-12-2018,Android,Chrome,Windows 11,192.168.202.225,0.37
91,Rahul Verma,45,Male,Delhi,Delhi,India,rahulverma239@rediffmail.com,919000000000.0,"House 263, Delhi, India",17-10-2023,Web,Chrome,Linux,192.168.138.171,0.26
92,Aanya Iyer,51,Female,Mumbai,Maharashtra,India,aanyaiyer646@gmail.com,920000000000.0,"House 74, Mumbai, India",19-09-2023,iOS,Firefox,iOS 17,192.168.252.103,0.82
93,Aanya Iyer,27,Female,Mumbai,Maharashtra,India,aanya_iyer35@rediffmail.com,916000000000.0,"House 277, Mumbai, India",06-09-2021,iOS,Edge,iOS 17,192.168.46.137,0.3
94,Aanya Iyer,37,Female,Delhi,Delhi,India,aanyaiyer15@gmail.com,918000000000.0,"House 284, Delhi, India",06-08-2022,Web,Firefox,Linux,192.168.216.98,0.39
95,Ishita Jain,30,Female,Delhi,Delhi,India,ishitajain520@rediffmail.com,917000000000.0,"House 244, Delhi, India",27-03-2021,iOS,Edge,Windows 11,192.168.48.23,0.72
96,Rahul Verma,57,Male,Chennai,Tamil Nadu,India,rahul.verma14@outlook.com,917000000000.0,"House 275, Chennai, India",15-05-2021,Web,Edge,Linux,192.168.245.75,0.31
97,Rahul Verma,44,Male,Pune,Maharashtra,India,rahulverma680@rediffmail.com,917000000000.0,"House 174, Pune, India",04-07-2021,Web,Edge,Android 14,192.168.41.198,0.4
98,Rahul Verma,25,Male,Delhi,Delhi,India,rahulverma672@outlook.com,919000000000.0,"House 17, Delhi, India",18-08-2021,iOS,Safari,iOS 17,192.168.202.197,0.52
99,Ishita Jain,22,Female,Ahmedabad,Gujarat,India,ishita.jain54@rediffmail.com,919000000000.0,"House 63, Ahmedabad, India",06-10-2022,Android,Safari,iOS 17,192.168.105.254,0.47
100,Rahul Verma,28,Male,Jaipur,Rajasthan,India,rahulverma425@outlook.com,919000000000.0,"House 130, Jaipur, India",09-11-2019,iOS,Edge,Linux,192.168.107.83,0.25
101,Ishita Jain,49,Female,Lucknow,Uttar Pradesh,India,ishita_jain50@yahoo.com,916000000000.0,"House 18, Lucknow, India",01-04-2018,Android,Firefox,Android 14,192.168.175.214,0.25
102,Aarav Kapoor,51,Male,Lucknow,Uttar Pradesh,India,aarav_kapoor86@gmail.com,920000000000.0,"House 187, Lucknow, India",17-07-2023,Android,Chrome,iOS 17,192.168.140.9,0.28
103,Aarav Kapoor,57,Male,Lucknow,Uttar Pradesh,India,aarav.kapoor85@rediffmail.com,917000000000.0,"House 197, Lucknow, India",10-05-2018,Android,Chrome,iOS 17,192.168.66.25,0.88
104,Ishita Jain,40,Female,Chennai,Tamil Nadu,India,ishita.jain80@outlook.com,918000000000.0,"House 217, Chennai, India",04-05-2024,Android,Firefox,iOS 17,192.168.56.2,0.91
105,Aarav Kapoor,54,Male,Chennai,Tamil Nadu,India,aarav.kapoor80@rediffmail.com,918000000000.0,"House 159, Chennai, India",20-04-2021,iOS,Firefox,iOS 17,192.168.17.224,0.24
106,Riya Desai,21,Female,Chennai,Tamil Nadu,India,riya.desai45@gmail.com,916000000000.0,"House 34, Chennai, India",06-04-2019,Android,Chrome,iOS 17,192.168.243.121,0.76
107,Meera Nair,27,Female,Pune,Maharashtra,India,meera.nair73@rediffmail.com,920000000000.0,"House 226, Pune, India",09-11-2019,iOS,Chrome,iOS 17,192.168.139.189,0.53
108,Arjun Thakur,30,Male,Lucknow,Uttar Pradesh,India,arjunthakur866@gmail.com,916000000000.0,"House 228, Lucknow, India",23-02-2019,iOS,Edge,iOS 17,192.168.225.208,0.89
109,Aanya Iyer,52,Female,Hyderabad,Telangana,India,aanyaiyer588@rediffmail.com,916000000000.0,"House 160, Hyderabad, India",07-11-2021,iOS,Chrome,iOS 17,192.168.199.171,0.41
110,Meera Nair,39,Female,Lucknow,Uttar Pradesh,India,meera_nair26@gmail.com,917000000000.0,"House 102, Lucknow, India",03-05-2021,Android,Chrome,iOS 17,192.168.191.112,0.5
111,Rahul Verma,29,Male,Bangalore,Karnataka,India,rahul_verma87@rediffmail.com,916000000000.0,"House 147, Bangalore, India",19-05-2024,iOS,Edge,Linux,192.168.129.156,0.85
112,Arjun Thakur,32,Male,Jaipur,Rajasthan,India,arjun.thakur91@gmail.com,918000000000.0,"House 86, Jaipur, India",21-03-2022,Web,Safari,Android 14,192.168.69.119,0.61
113,Meera Nair,41,Female,Kolkata,West Bengal,India,meera_nair78@rediffmail.com,916000000000.0,"House 33, Kolkata, India",23-05-2021,iOS,Chrome,Linux,192.168.167.87,0.41
114,Aarav Kapoor,18,Male,Bangalore,Karnataka,India,aarav.kapoor70@rediffmail.com,919000000000.0,"House 200, Bangalore, India",03-09-2021,Android,Chrome,Android 14,192.168.98.108,0.23
115,Rahul Verma,32,Male,Delhi,Delhi,India,rahul.verma35@rediffmail.com,916000000000.0,"House 296, Delhi, India",15-03-2020,Android,Safari,iOS 17,192.168.127.83,0.59
116,Rahul Verma,18,Male,Hyderabad,Telangana,India,rahul.verma64@gmail.com,920000000000.0,"House 21, Hyderabad, India",10-11-2022,Web,Safari,Windows 11,192.168.198.168,0.61
117,Meera Nair,23,Female,Kolkata,West Bengal,India,meera.nair13@yahoo.com,917000000000.0,"House 133, Kolkata, India",17-02-2024,Web,Safari,Linux,192.168.187.87,0.68
118,Rahul Verma,49,Male,Pune,Maharashtra,India,rahulverma496@gmail.com,919000000000.0,"House 82, Pune, India",27-08-2018,Android,Safari,Android 14,192.168.143.74,0.27
119,Sneha Reddy,26,Female,Hyderabad,Telangana,India,sneha.reddy10@gmail.com,916000000000.0,"House 8, Hyderabad, India",18-05-2023,Android,Chrome,Windows 11,192.168.39.25,0.69
120,Ishita Jain,37,Female,Lucknow,Uttar Pradesh,India,ishita_jain15@rediffmail.com,918000000000.0,"House 254, Lucknow, India",26-08-2019,Android,Safari,Linux,192.168.185.208,0.24
121,Rahul Verma,26,Male,Pune,Maharashtra,India,rahulverma749@gmail.com,916000000000.0,"House 275, Pune, India",23-05-2018,Web,Chrome,Windows 11,192.168.169.159,0.31
122,Riya Desai,31,Female,Bangalore,Karnataka,India,riyadesai770@rediffmail.com,917000000000.0,"House 182, Bangalore, India",19-09-2018,Android,Chrome,iOS 17,192.168.143.113,0.55
123,Riya Desai,38,Female,Jaipur,Rajasthan,India,riya_desai61@yahoo.com,916000000000.0,"House 65, Jaipur, India",23-03-2019,Android,Edge,Android 14,192.168.17.94,0.67
124,Arjun Thakur,37,Male,Bangalore,Karnataka,India,arjun.thakur33@yahoo.com,920000000000.0,"House 289, Bangalore, India",27-08-2018,iOS,Edge,Android 14,192.168.108.33,0.74
125,Meera Nair,48,Female,Chennai,Tamil Nadu,India,meeranair38@rediffmail.com,918000000000.0,"House 32, Chennai, India",13-11-2024,Web,Firefox,iOS 17,192.168.99.13,0.85
126,Sneha Reddy,25,Female,Bangalore,Karnataka,India,sneha.reddy20@rediffmail.com,917000000000.0,"House 271, Bangalore, India",10-02-2024,iOS,Firefox,iOS 17,192.168.38.50,0.64
127,Sneha Reddy,23,Female,Lucknow,Uttar Pradesh,India,sneha.reddy82@gmail.com,917000000000.0,"House 255, Lucknow, India",06-06-2023,iOS,Firefox,Linux,192.168.23.232,0.29
128,Rahul Verma,26,Male,Delhi,Delhi,India,rahul.verma98@rediffmail.com,918000000000.0,"House 277, Delhi, India",15-01-2022,Web,Chrome,Windows 11,192.168.247.109,0.7
129,Meera Nair,46,Female,Bangalore,Karnataka,India,meera_nair47@gmail.com,917000000000.0,"House 61, Bangalore, India",07-08-2018,Android,Safari,Windows 11,192.168.80.28,0.61
130,Riya Desai,40,Female,Pune,Maharashtra,India,riya_desai42@yahoo.com,916000000000.0,"House 68, Pune, India",17-05-2018,iOS,Safari,Android 14,192.168.180.36,0.58
131,Sneha Reddy,55,Female,Kolkata,West Bengal,India,snehareddy426@outlook.com,918000000000.0,"House 111, Kolkata, India",09-11-2023,Android,Firefox,iOS 17,192.168.107.225,0.26
132,Vikram Rao,60,Male,Pune,Maharashtra,India,vikram_rao66@outlook.com,918000000000.0,"House 58, Pune, India",11-02-2021,iOS,Edge,iOS 17,192.168.30.222,0.9
133,Meera Nair,51,Female,Kolkata,West Bengal,India,meera.nair43@yahoo.com,920000000000.0,"House 220, Kolkata, India",21-02-2023,Android,Safari,Linux,192.168.132.140,0.85
134,Aarav Kapoor,56,Male,Bangalore,Karnataka,India,aarav.kapoor10@yahoo.com,918000000000.0,"House 177, Bangalore, India",08-11-2023,Web,Chrome,Windows 11,192.168.170.159,0.67
135,Vikram Rao,31,Male,Kolkata,West Bengal,India,vikramrao81@yahoo.com,919000000000.0,"House 231, Kolkata, India",22-05-2019,Android,Chrome,Android 14,192.168.74.4,0.38
136,Ishita Jain,60,Female,Chennai,Tamil Nadu,India,ishita_jain61@gmail.com,919000000000.0,"House 145, Chennai, India",09-11-2020,Android,Firefox,iOS 17,192.168.101.107,0.85
137,Kabir Sharma,38,Male,Kolkata,West Bengal,India,kabirsharma91@gmail.com,918000000000.0,"House 273, Kolkata, India",20-05-2021,Web,Safari,Android 14,192.168.175.135,0.96
138,Vikram Rao,22,Male,Delhi,Delhi,India,vikram.rao47@outlook.com,919000000000.0,"House 284, Delhi, India",13-10-2020,Android,Safari,Android 14,192.168.154.70,0.97
139,Vikram Rao,25,Male,Chennai,Tamil Nadu,India,vikram.rao57@gmail.com,918000000000.0,"House 44, Chennai, India",17-03-2019,Web,Edge,Linux,192.168.148.252,0.66
140,Rahul Verma,29,Male,Jaipur,Rajasthan,India,rahul.verma29@rediffmail.com,918000000000.0,"House 115, Jaipur, India",23-03-2021,Android,Safari,iOS 17,192.168.194.155,0.61
141,Aarav Kapoor,45,Male,Chennai,Tamil Nadu,India,aarav_kapoor74@gmail.com,918000000000.0,"House 187, Chennai, India",01-11-2024,Android,Chrome,iOS 17,192.168.9.176,0.82
142,Ishita Jain,37,Female,Jaipur,Rajasthan,India,ishita.jain74@outlook.com,917000000000.0,"House 26, Jaipur, India",07-06-2022,iOS,Chrome,Android 14,192.168.17.236,0.79
143,Vikram Rao,48,Male,Ahmedabad,Gujarat,India,vikram.rao15@yahoo.com,918000000000.0,"House 33, Ahmedabad, India",23-07-2020,Android,Edge,Windows 11,192.168.32.217,0.67
